username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NickZRobey;2015-02-01 18:29;0;0;"Had a blast at Krewe du Vieux last night! #kreweduvieux #mardigras #nola #2015 @The Marigny Triangle http:// instagram.com/p/ykZJuUHVuI/";;@The;#kreweduvieux #mardigras #nola #2015;"561954428480417793";https://twitter.com/NickZRobey/status/561954428480417793
tbeasleyjr;2015-02-01 18:09;0;2;"Family selfie before the Krewe of Little Rascals. #MardiGras pic.twitter.com/sYaRZ7zGh5";;;#MardiGras;"561949494061711362";https://twitter.com/tbeasleyjr/status/561949494061711362
totalcareergirl;2015-02-01 16:11;0;0;"More like Krewe Du Cuties @sleepyclothes strappinglady #mardigras #nola #kreweduvieux #mainbitches … http:// instagram.com/p/ykJWQMQsvD/";;@sleepyclothes;#mardigras #nola #kreweduvieux #mainbitches;"561919674016075776";https://twitter.com/totalcareergirl/status/561919674016075776
undrmyumbrELLA;2015-02-01 15:49;0;0;"If last night was any indication of how the next 2 weeks will go, I'm not sure I'm going to make it alive. #MardiGras #showmeyourtweets";;;#MardiGras #showmeyourtweets;"561914161987207169";https://twitter.com/undrmyumbrELLA/status/561914161987207169
markkeady;2015-02-01 15:36;0;0;"Goodbye New Orleans. Incredible city. #MardiGras #NOLA #KreweduVieux @FrenchQuarter NewOrleans http:// instagram.com/p/ykFY3zGf-U/";;@FrenchQuarter;#MardiGras #NOLA #KreweduVieux;"561910967781851138";https://twitter.com/markkeady/status/561910967781851138
TheFourHornsmen;2015-02-01 12:54;0;0;"Just the first parade of the Mardi Gras season!!! #MardiGras #NewOrleans @Bourbon Street http:// instagram.com/p/yjy1MJEFaX/";;@Bourbon;#MardiGras #NewOrleans;"561870159812788224";https://twitter.com/TheFourHornsmen/status/561870159812788224
BigLeagueJew326;2015-02-01 06:26;0;0;"Round round get around #igetaround ... #MardiGras #KreweDuVieux #shehechiyanu @Krewe Du Vieux Parade http:// instagram.com/p/yjGdJehNLT/";;@Krewe;#igetaround #MardiGras #KreweDuVieux #shehechiyanu;"561772575869911040";https://twitter.com/BigLeagueJew326/status/561772575869911040
StacyRose16;2015-02-01 06:09;0;0;"Countdown has officially began #MardiGras #roadtrip #NOLA #handgrenades see you soon steve_lo … http:// instagram.com/p/yjEeGBMYKk/";;;#MardiGras #roadtrip #NOLA #handgrenades;"561768212682248192";https://twitter.com/StacyRose16/status/561768212682248192
melissaagibbs;2015-02-01 05:02;0;1;"#KreweduVieux rolling right out my front door #newroute #CBD #NOLA #MardiGras #Carnival #downtownliving #KdV2015 pic.twitter.com/axgwwsh5Ne";;;#KreweduVieux #newroute #CBD #NOLA #MardiGras #Carnival #downtownliving #KdV2015;"561751475001774081";https://twitter.com/melissaagibbs/status/561751475001774081
sondermoon;2015-02-01 04:58;0;0;"It's about that Mardi Gras time kids! #KreweDuVieux #mardigras #carnival #SquadUp #HashtagsOnFleek … http:// instagram.com/p/yi8XWZgQJn/";;;#KreweDuVieux #mardigras #carnival #SquadUp #HashtagsOnFleek;"561750387192233984";https://twitter.com/sondermoon/status/561750387192233984
