username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
KastroDaOne;2018-03-30 21:57;0;0;"@parksmusic are you ever gonna tell us about that Saint Patrick's Day bar fight or nah? lol";;@parksmusic;;"979839991680589825";https://twitter.com/KastroDaOne/status/979839991680589825
hdandmore;2018-03-30 21:38;0;0;"90% off Saint Patrick's Day and Valentine's Day items at Hobby Lobby! http:// holidaydealsandmore.com/90-off-saint-p atricks-day-and-valentines-day-items-at-hobby-lobby/ …";;;;"979835212396888064";https://twitter.com/hdandmore/status/979835212396888064
sourfrog13;2018-03-30 21:03;0;4;"Happy Saint Patrick's Day !! Pics are a little late but we got them… https://www. instagram.com/p/Bg9jZikFuFXE 4OwldbZGuYVLnDA6MZM4iHsTBs0/ …";;;;"979826578199736320";https://twitter.com/sourfrog13/status/979826578199736320
CarlingtonChap;2018-03-30 20:54;1;1;"Thanks to all who came out to our festive Saint Patrick’s day brunch. Our next brunch is happening in April. Stay tuned for more details! pic.twitter.com/SgyCaTZ73I";;;;"979824103203975168";https://twitter.com/CarlingtonChap/status/979824103203975168
Bnbeq;2018-03-30 20:34;0;0;"Repost from annegittinsphotography of #teambelle Olivia Sweetnam with her Saint Patrick's day … https://www. instagram.com/p/Bg9gDiZHdLT/";;;#teambelle;"979819267314143232";https://twitter.com/Bnbeq/status/979819267314143232
MU_Intl;2018-03-30 20:14;0;0;"International student Nissi Susan John, pursuing her Masters in Data Science and Analytics at Maynooth University, describing her fun-filled and memorable Saint Patrick's Day http://www. i-studentglobal.com/student-blogs/ blogs/hello-patrick-day?showall=&start=1 …";;;;"979814231150297089";https://twitter.com/MU_Intl/status/979814231150297089
hamham_bam24;2018-03-30 18:50;0;0;"Just some Saint Patrick’s day airsoft! pic.twitter.com/msiMSnb12O";;;;"979793086510485504";https://twitter.com/hamham_bam24/status/979793086510485504
NadiaCarly;2018-03-30 18:17;0;3;"Saint Patrick’s Day antics #Belfast #Ireland #Irish pic.twitter.com/XKwhlkQjrW";;;#Belfast #Ireland #Irish;"979784741300957184";https://twitter.com/NadiaCarly/status/979784741300957184
Rarities_Vault;2018-03-30 17:44;0;0;"Go Green For Saint Patrick's Day CAC Approved! - http:// mailchi.mp/55fac159e769/f ranky-friday-special-433359 …";;;;"979776427280257024";https://twitter.com/Rarities_Vault/status/979776427280257024
dilishi;2018-03-30 17:30;0;0;"Today’s the last day to get irish mint, so be sure stop in to get your fix before next Saint Patrick’s Day ! pic.twitter.com/4iHrrjzNzR";;;;"979772773768880128";https://twitter.com/dilishi/status/979772773768880128
