username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
nhlivingcom;2018-03-30 22:00;0;0;"NH Events #nhevents #newhampshire #nhevents #visitnh #HomeShow #StPatricksDayParade #ManchesterNH #NHLiving #NH #VisitNH http:// ow.ly/GwYm30jeMp9 pic.twitter.com/lXgjXqpaGS";;;#nhevents #newhampshire #nhevents #visitnh #HomeShow #StPatricksDayParade #ManchesterNH #NHLiving #NH #VisitNH;"979840764527202304";https://twitter.com/nhlivingcom/status/979840764527202304
ny_irish_fest;2018-03-30 21:26;2;4;"Congratulations to all who could be involved in this year’s Utica St. Patrick’s Day Parade, and a big thank you to all who braved the cold & wind to cheer it on. We couldn’t have done it without you! #uticastpatricksdayparade #uticarocks #uticaNY #StPatricksDayParade pic.twitter.com/MgWSwAPG6Z";;;#uticastpatricksdayparade #uticarocks #uticaNY #StPatricksDayParade;"979832191558529025";https://twitter.com/ny_irish_fest/status/979832191558529025
RobinEdgar;2018-03-30 16:39;0;0;"#Police find a 58 year old man on sidewalk of de Maisonneuve Boul. & Bulmer Ave. in @CDN_NDG before #StPatricksDayParade . More info to come. http:// emersonavenger.blogspot.ca/2018/03/montre al-deputy-mayor-sue-montgomery.html … #PolMTL #CDNNDG #NDG #Unitarian #UUA #ChildSexAbuse #CoverUp #SPVM #MySPVM #manifencours https:// youtu.be/9UUTLEzxO34";;@CDN_NDG;#Police #StPatricksDayParade #PolMTL #CDNNDG #NDG #Unitarian #UUA #ChildSexAbuse #CoverUp #SPVM #MySPVM #manifencours;"979759965102661632";https://twitter.com/RobinEdgar/status/979759965102661632
SteveOlanSoul;2018-03-29 18:36;0;0;"#homemade #coleslaw #cabbage from the #stpatricksdayparade #vegetarian #namaste @The Homestead https://www. instagram.com/p/Bg6trvvjA_9/";;@The;#homemade #coleslaw #cabbage #stpatricksdayparade #vegetarian #namaste;"979426989445705729";https://twitter.com/SteveOlanSoul/status/979426989445705729
ProvisoMag18;2018-03-29 17:58;0;0;"Inside the Positively Proviso Magazine April issue: Around Proviso: Forest Park Annual St. Paddy's Day Celebration & The Showdown Proviso East - West Battle of the Bands... #forestpark #stpatricksdayparade #battleofthebands pic.twitter.com/duEjwRPfc7";;;#forestpark #stpatricksdayparade #battleofthebands;"979417463887745026";https://twitter.com/ProvisoMag18/status/979417463887745026
RobinEdgar;2018-03-27 18:12;1;1;"#Montreal 's #ClergyAbuse enabling #DeputyMayor #SueMontgomery came for my #PicketSigns #protesting against #UUA #ChildSexAbuse #CoverUp before the #StPatricksDayParade . https:// twitter.com/RobinEdgar/sta tus/976096627319607297 … So far. . . No Montreal #politician has condemned her #AbuseOfPower . #PolMTL #CMMTL";;;#Montreal #ClergyAbuse #DeputyMayor #SueMontgomery #PicketSigns #protesting #UUA #ChildSexAbuse #CoverUp #StPatricksDayParade #politician #AbuseOfPower #PolMTL #CMMTL;"978696257089744896";https://twitter.com/RobinEdgar/status/978696257089744896
TonyAtTheTable;2018-03-27 15:06;1;3;"Awesome #DrumLine at the @Yonkers_Parade on #McLeanAve in #Yonkers . #StPatrick #StPatricksDay #StPatricksDayParade #Woodlawn #Wakefield #Bronx #Yonkers #YonkersStPatricksDayParade #MeetMeOnMcLean pic.twitter.com/F4YfIMHCVe";;@Yonkers_Parade;#DrumLine #McLeanAve #Yonkers #StPatrick #StPatricksDay #StPatricksDayParade #Woodlawn #Wakefield #Bronx #Yonkers #YonkersStPatricksDayParade #MeetMeOnMcLean;"978649540986368001";https://twitter.com/TonyAtTheTable/status/978649540986368001
TonyAtTheTable;2018-03-27 15:03;0;0;"#GuinnessTime at @theheritagebar after the 63rd Annual Yonkers Saint Patrick’s Day Parade on #McLeanAve in #Yonkers . #StPatrick #StPatricksDay #StPatricksDayParade #Woodlawn #Wakefield #Bronx #YonkersStPatricksDayParade #MeetMeOnMcLean @Yonkers_Parade @GuinnessIreland @GuinnessUS pic.twitter.com/u4dSwcoCYI – bei The Heritage";;@theheritagebar @Yonkers_Parade @GuinnessIreland @GuinnessUS;#GuinnessTime #McLeanAve #Yonkers #StPatrick #StPatricksDay #StPatricksDayParade #Woodlawn #Wakefield #Bronx #YonkersStPatricksDayParade #MeetMeOnMcLean;"978648671104487425";https://twitter.com/TonyAtTheTable/status/978648671104487425
TonyAtTheTable;2018-03-27 14:53;0;2;"Excellent #IrishFare at @theheritagebar after the 63rd Annual Yonkers #StPatricksDayParade on #McLeanAve in #Yonkers . #StPatrick #StPatricksDay #Bronx #Hibernians #AncietOrderOfHibernians #Irish #IrishAmerican #YonkersStPatricksDayParade #McLeanAve #MeetMeOnMcLean pic.twitter.com/79SiVFWc0o – bei Heritage Bar & Restaurant";;@theheritagebar;#IrishFare #StPatricksDayParade #McLeanAve #Yonkers #StPatrick #StPatricksDay #Bronx #Hibernians #AncietOrderOfHibernians #Irish #IrishAmerican #YonkersStPatricksDayParade #McLeanAve #MeetMeOnMcLean;"978646139275825152";https://twitter.com/TonyAtTheTable/status/978646139275825152
TonyAtTheTable;2018-03-27 14:47;0;0;"What a honor it was to be able to attend and cover the 63rd Annual Yonkers #StPatricksDayParade on #McLeanAve in #Yonkers . #StPatrick #StPatricksDay #CatholicNYC #YonkersStPatricksDayParade #MeetMeOnMcLean @Yonkers_Parade @NY_Arch pic.twitter.com/Cko3lVydpj";;@Yonkers_Parade @NY_Arch;#StPatricksDayParade #McLeanAve #Yonkers #StPatrick #StPatricksDay #CatholicNYC #YonkersStPatricksDayParade #MeetMeOnMcLean;"978644613002137603";https://twitter.com/TonyAtTheTable/status/978644613002137603
TonyAtTheTable;2018-03-27 14:03;2;7;"Pictures from the 63rd Annual Yonkers #StPatricksDayParade on #McLeanAve in #Yonkers . #StPatrick #StPatricksDay #CatholicNYC #YonkersStPatricksDayParade #MeetMeOnMcLean @Yonkers_Parade @NY_Arch pic.twitter.com/62SI20FFr9";;@Yonkers_Parade @NY_Arch;#StPatricksDayParade #McLeanAve #Yonkers #StPatrick #StPatricksDay #CatholicNYC #YonkersStPatricksDayParade #MeetMeOnMcLean;"978633532728889345";https://twitter.com/TonyAtTheTable/status/978633532728889345
