username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PMartinIMNIT;2018-03-16 18:59;0;0;"It’s a real nigga holiday toma #SaintPatrick";;;#SaintPatrick;"974721739518169089";https://twitter.com/PMartinIMNIT/status/974721739518169089
PadreDam;2018-03-16 18:56;0;4;"Tomorrow is #SaintPatrick ’sDay! Remember to wear green! pic.twitter.com/OIrnCTNzik";;;#SaintPatrick;"974721152806342656";https://twitter.com/PadreDam/status/974721152806342656
KillaloeDiocese;2018-03-16 18:53;30;57;"#God #bless you and your #family on this weekend when we celebrate #SaintPatrick - May the patron of #Ireland walk with us in #faith #hope #love and #life pic.twitter.com/j0CElEIsL8";;;#God #bless #family #SaintPatrick #Ireland #faith #hope #love #life;"974720247122006016";https://twitter.com/KillaloeDiocese/status/974720247122006016
mag_magalia;2018-03-16 18:49;0;1;"337 bars #SaintPatrick";;;#SaintPatrick;"974719222998863872";https://twitter.com/mag_magalia/status/974719222998863872
InsuranceSMM;2018-03-16 18:41;0;0;"There's a very good chance you'll be seeing a sea of #green tomorrow, but #SaintPatrick himself actually preferred blue! Get into the #StPatricksDay spirit w/ these fun facts. http:// bit.ly/1p3cq3Z";;;#green #SaintPatrick #StPatricksDay;"974717236526092288";https://twitter.com/InsuranceSMM/status/974717236526092288
MobileSSInc;2018-03-16 18:41;0;0;"Happy #SaintPatrick 'sDay! Fun fact: Saint Patrick himself would have to deal with pinching on his feast day. His color was “Saint Patrick’s blue". The color green became associated with the big day after it was linked to the Irish independence movement in the 18th century. pic.twitter.com/UgMal3PXlU";;;#SaintPatrick;"974717200459280390";https://twitter.com/MobileSSInc/status/974717200459280390
outrageous74;2018-03-16 18:32;0;1;"Yay! My #SaintPatrick Day order just came in from Amazon! pic.twitter.com/mhn4Qbnine";;;#SaintPatrick;"974715022902521857";https://twitter.com/outrageous74/status/974715022902521857
SurfsUpDudez;2018-03-16 18:30;1;1;"Saint Patrick’s Day is tomorrow!! The Irish are a proud lot!! Enjoy a pint if YOU are proud of where you are from. I’ll raise a pint to my Irish brothers & sisters this weekend #SaintPatrick #StPatricksDay #StPaddysDay";;;#SaintPatrick #StPatricksDay #StPaddysDay;"974714604361154560";https://twitter.com/SurfsUpDudez/status/974714604361154560
ClareConvert;2018-03-16 18:28;0;4;"Today we #Irish #Ahmadiyya #Muslims are following in the footsteps of #SaintPatrick . We, having accepted the #Messiah of this age, Hazret Mirza Ghulam Ahmad alahisalam now turn to our own people to convey his message. #StPatricksDay #Ireland #Catholics #SaintPatricksDay #Jesus";;;#Irish #Ahmadiyya #Muslims #SaintPatrick #Messiah #StPatricksDay #Ireland #Catholics #SaintPatricksDay #Jesus;"974714019117518853";https://twitter.com/ClareConvert/status/974714019117518853
IrishGemJewelry;2018-03-16 18:17;3;0;"Irish #shamrock with Marcasite #Ring Sterling Silver A shamrock is a young sprig, used as a symbol of #Ireland . #SaintPatrick , Ireland's patron saint, is said to have used it as a metaphor for the Christian Holy #Trinity pic.twitter.com/uK7SkOf2wX";;;#shamrock #Ring #Ireland #SaintPatrick #Trinity;"974711356724338688";https://twitter.com/IrishGemJewelry/status/974711356724338688
