username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Greenfinchwf;2017-12-31 23:59;0;0;"Happy New year everyone";;;;"947618370152747009";https://twitter.com/Greenfinchwf/status/947618370152747009
_WhatJasSaid;2017-12-31 23:59;0;0;"You watching the Chappelle skit? lol.https://twitter.com/eh_kees/status/947617509515186176 …";;;;"947618370152693760";https://twitter.com/_WhatJasSaid/status/947618370152693760
Ambert_;2017-12-31 23:59;0;0;"365 of 365. We did it";;;;"947618370140155905";https://twitter.com/Ambert_/status/947618370140155905
iafh_mjr;2017-12-31 23:59;0;0;"DOVE CAMERON CATCH ME OUTSIDE !!!! BITCH!";;;;"947618370140102658";https://twitter.com/iafh_mjr/status/947618370140102658
jiannaluvsu;2017-12-31 23:59;0;3;"me: im taking a nap I'll be up in an hour mom: no you won't";;;;"947618370131816449";https://twitter.com/jiannaluvsu/status/947618370131816449
Retour_co;2017-12-31 23:59;0;0;"Mickey button down shirt dropping tomorrow @Oxnard, California https://www.instagram.com/p/BdYsy_xB1Bb/";;@Oxnard;;"947618370131816448";https://twitter.com/Retour_co/status/947618370131816448
DrowningMyLife;2017-12-31 23:59;0;7;"Happy new year";;;;"947618370123378688";https://twitter.com/DrowningMyLife/status/947618370123378688
StarcalledStudi;2017-12-31 23:59;1;4;"Join us for a Starcalled Lanari! Starting off with @ eviejaeress playing Binding of Isaac. # HappyNewYear2018 # NewYear # roguelike # gaming # gamer # nerdpic.twitter.com/nHnQSIhkPY";;@;# # # # # #;"947618370119262208";https://twitter.com/StarcalledStudi/status/947618370119262208
Tommysparkzz;2017-12-31 23:59;0;1;"The bars in down town Plymouth will be hopping. I'm sure there will be fireworks at midnight. Always hear explosions on New Year's eve.";;;;"947618370115002368";https://twitter.com/Tommysparkzz/status/947618370115002368
IncidentAlert12;2017-12-31 23:59;0;0;"10:40 Broadford-kilmore Road, Kilmore East - Grass under control (4 appliances, CFA district 12 )http://www.incidentalert.com.au/iav5/index.php/8-mapping/6-incident-alert-single-incident-map?utm_source=IncidentAlert12&utm_medium=alerts&i=2145918&town=Kilmore%20East&region=12 …";;;;"947618370106507264";https://twitter.com/IncidentAlert12/status/947618370106507264
MikaelaAmiraa;2017-12-31 23:59;8;73;"brunch ‘17pic.twitter.com/a6pQOQaExh";;;;"947618370098204674";https://twitter.com/MikaelaAmiraa/status/947618370098204674
StinkPearl;2017-12-31 23:59;0;0;"In the full video she also talks about marking sure your man eats a lot of protein so he can cum a lothttps://twitter.com/fkajack/status/947224651624828928 …";;;;"947618370085670913";https://twitter.com/StinkPearl/status/947618370085670913
LandmarkUnivers;2017-12-31 23:59;7;7;"Happy New Dawn";;;;"947618370068684800";https://twitter.com/LandmarkUnivers/status/947618370068684800
flibblesan;2017-12-31 23:59;0;1;"Happy New Year everyone! Here's to 2018!";;;;"947618370064547840";https://twitter.com/flibblesan/status/947618370064547840
JUICEMANN13;2017-12-31 23:59;3;0;"# EpicAssNYE2018 tonightpic.twitter.com/hVYE0Q18Xu";;;#;"947618370043695105";https://twitter.com/JUICEMANN13/status/947618370043695105
cortmullins;2017-12-31 23:59;0;1;"Celebrated America with my best friend @ inzanajpic.twitter.com/EMpb9qOWsF";;@;;"947618370022756352";https://twitter.com/cortmullins/status/947618370022756352
saucygrayy;2017-12-31 23:59;0;1;"OMG KELSI ILY HAPPY NEW YEAR DM ANY TIME";;;;"947618370022723584";https://twitter.com/saucygrayy/status/947618370022723584
SherlockHQuote;2017-12-31 23:59;0;0;"I stop suddenly, hissing for quiet.";;;;"947618370014334976";https://twitter.com/SherlockHQuote/status/947618370014334976
BlackDogFarm;2017-12-31 23:59;0;0;"Wind 0.0 mph SW. Barometer 30.320 in, Falling. Temperature 35.6 °F. Rain today 0.01 in. Humidity 100%";;;;"947618370014154752";https://twitter.com/BlackDogFarm/status/947618370014154752
VampWriterGRRL;2017-12-31 23:59;0;1;"I have literally no idea why I just turned an orange into a pig and stuck a penny in its mouth, but here ya go. # NewYearsEvePig # OrangePigpic.twitter.com/5VYFVzMYtc";;;# #;"947618370005929985";https://twitter.com/VampWriterGRRL/status/947618370005929985
roberta_lanzoni;2017-12-31 23:59;1;1;"Thank you so much!!! Happy 2018 dear!!!";;;;"947618370001575936";https://twitter.com/roberta_lanzoni/status/947618370001575936
todobugi;2017-12-31 23:59;0;0;"may 2018 be the year shinsou replaces mineta in the hero course";;;;"947618369997623296";https://twitter.com/todobugi/status/947618369997623296
maddieboccella;2017-12-31 23:59;0;1;"just because its a bad idea doesnt mean it wont be a good time.";;;;"947618369989210112";https://twitter.com/maddieboccella/status/947618369989210112
medagofficial;2017-12-31 23:59;0;0;"Welcome 2018 # HappyNewYear";;;#;"947618369989201921";https://twitter.com/medagofficial/status/947618369989201921
commonsquirrel;2017-12-31 23:59;0;0;"sleep";;;;"947618369972211712";https://twitter.com/commonsquirrel/status/947618369972211712
mcomtshali;2017-12-31 23:59;0;1;"Happy new year Zonke people out there. Enjoy yourself but look after one another.";;;;"947618369968201728";https://twitter.com/mcomtshali/status/947618369968201728
OfficialVelanis;2017-12-31 23:59;0;0;"You don't give up on someone you love.";;;;"947618369951252481";https://twitter.com/OfficialVelanis/status/947618369951252481
TheReal_Khalill;2017-12-31 23:59;0;1;"@ _AminaGreen happy birthday get lit!";;@;;"947618369947295744";https://twitter.com/TheReal_Khalill/status/947618369947295744
_hearteyehowell;2017-12-31 23:59;0;0;"I agree with you, but I have no idea what songs you are talking about.";;;;"947618369947230211";https://twitter.com/_hearteyehowell/status/947618369947230211
ADKArtsBoutique;2017-12-31 23:59;0;0;"http://www.adkartsboutique.com  Excited to share the latest addition to my # etsy shop: Crochet New Year… https://www.instagram.com/p/BdYszNEHUlI/";;;#;"947618369938878474";https://twitter.com/ADKArtsBoutique/status/947618369938878474
American_Goner;2017-12-31 23:59;0;4;"So i covered the awesome and amazing @ EsmePatterson on my new album. Maybe check it out?http://americangoner.bandcamp.com";;@;;"947618369926254593";https://twitter.com/American_Goner/status/947618369926254593
Jolietwxcom;2017-12-31 23:59;0;0;"12/31/2017 6:00 PM Temp 6.9 Wind Chill 1,0 Barometer 30.592 inches Snow 0.00 Wind 2.9 mph Hi 14.4 at 1:12 PM Low -0.7 at 12:00 AM";;;;"947618369917906944";https://twitter.com/Jolietwxcom/status/947618369917906944
GodKingNobody;2017-12-31 23:59;0;0;"Incorrect... I just predicted the eclipses using a 360 day calendar with an added .013333 day to each day, because the sun and moon move one degree in orbit every actual 1 degree day... Your model just took a head shot...";;;;"947618369913663495";https://twitter.com/GodKingNobody/status/947618369913663495
_ffsJohn_;2017-12-31 23:59;0;1;"About 3 inches";;;;"947618369909542914";https://twitter.com/_ffsJohn_/status/947618369909542914
LeaTallulah;2017-12-31 23:59;0;0;"Imma legit crop his face onto everyone";;;;"947618369905106944";https://twitter.com/LeaTallulah/status/947618369905106944
Ms_Sandy_;2017-12-31 23:59;0;0;"Happy New Year to you !!!";;;;"947618369892732930";https://twitter.com/Ms_Sandy_/status/947618369892732930
MyJeeZus973;2017-12-31 23:59;0;0;"@ markschlereth who do you think we fit good with GB as a D coordinator? I personally wouldn't mind Rex Ryan. Any opinions?";;@;;"947618369892683776";https://twitter.com/MyJeeZus973/status/947618369892683776
evette__;2017-12-31 23:59;0;0;"Fuck all y’all tbhhhhhhhh y’all wasn’t getting shit from me anywayyyy";;;;"947618369888555009";https://twitter.com/evette__/status/947618369888555009
sp1305;2017-12-31 23:59;0;1;"I love you too Pumpkin xxxx All the lovely things for you Especially XXX";;;;"947618369888555008";https://twitter.com/sp1305/status/947618369888555008
DelinquentMark;2017-12-31 23:59;0;0;"Bruh friends blocked me for mentioning Sissygasm";;;;"947618369863340032";https://twitter.com/DelinquentMark/status/947618369863340032
heyyWill;2017-12-31 23:59;0;0;"Defense finally can stop somebody and they go and ruin the offense smh";;;;"947618369859215360";https://twitter.com/heyyWill/status/947618369859215360
pxco_rdgz;2017-12-31 23:59;0;1;"It was never gone";;;;"947618369854935040";https://twitter.com/pxco_rdgz/status/947618369854935040
slazear1;2017-12-31 23:59;0;0;"We need to reboot Major Headwound Harry in 2018";;;;"947618369850589184";https://twitter.com/slazear1/status/947618369850589184
SoHiWeather;2017-12-31 23:59;0;0;"Shreveport, LA 6:00 PM Temp: 34.3F Hum: 65% Baro: 30.456 inches Wind: 2.8 NNW Rain today: 0.00 in # weather # fb";;;# #;"947618369842417665";https://twitter.com/SoHiWeather/status/947618369842417665
TLRNemesis;2017-12-31 23:59;0;1;"Happy new years Napuré!";;;;"947618369842417664";https://twitter.com/TLRNemesis/status/947618369842417664
renhasabot;2017-12-31 23:59;0;0;"ayy lmao";;;;"947618369838006272";https://twitter.com/renhasabot/status/947618369838006272
NateKelly4;2017-12-31 23:59;0;0;"I'm cheering # BoomerSooner for @ OU_Football in the @ rosebowlgame! Are you? # CFBPlayoffhttps://cards.twitter.com/cards/18ce53uz1rx/56j1a …";;@ @;# #;"947618369829855232";https://twitter.com/NateKelly4/status/947618369829855232
luvjohn2;2017-12-31 23:59;0;0;"with you 2017 was the best i love you so so so much, happy new year!";;;;"947618369825583105";https://twitter.com/luvjohn2/status/947618369825583105
Asye_C585;2017-12-31 23:59;0;0;"Regular twitter look mad weird";;;;"947618369825583104";https://twitter.com/Asye_C585/status/947618369825583104
Jen_Lynn77;2017-12-31 23:59;0;0;"Best way to close out the year. Please say there is cheese involved too!";;;;"947618369817133058";https://twitter.com/Jen_Lynn77/status/947618369817133058
coreymotley;2017-12-31 23:59;0;2;"I’m ready be back in humid Louisiana after this holiday trip mostly because after a week in the frigid Midwest the backs of my hands are starting to resemble fish scales.";;;;"947618369813041153";https://twitter.com/coreymotley/status/947618369813041153
MarriottRewards;2017-12-31 23:59;0;0;"You got it! Your points will post in 24 hours or less. Thanks for playing with us this season!pic.twitter.com/knrCnRYUK5";;;;"947618369804623872";https://twitter.com/MarriottRewards/status/947618369804623872
TheK_Mac;2017-12-31 23:59;0;1;"im still here so I yea I guess.";;;;"947618369804611586";https://twitter.com/TheK_Mac/status/947618369804611586
JeniferKastenAZ;2017-12-31 23:59;0;0;"All these looks back are really bumming me out. I remember 2017. I’d prefer to look forward at this point.";;;;"947618369796112384";https://twitter.com/JeniferKastenAZ/status/947618369796112384
kchoate;2017-12-31 23:59;0;0;"Restaurants where Kids Eat Free in Austin: https://fb.me/8qxhSlS9z";;;;"947618369792102401";https://twitter.com/kchoate/status/947618369792102401
DellJody;2017-12-31 23:59;0;0;"Hah. She did whip Rose's arse pretty good. But damn JJ beat her bad, and she has a loss to Silent Storm. Maybe one more win over a top, maybe @ KarolinaMMA late or a title eliminator";;@;;"947618369787875331";https://twitter.com/DellJody/status/947618369787875331
