username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ChurchillArmsW8;2017-03-18 22:02;1;6;"It has been an amazing # SaintPatricksweekend @ ChurchillArmsW8 # thankyou all for celebrating with us # StPatricksDay # SixNationsRugby # Sláintepic.twitter.com/SyBayftVn1";;@;# # # # #;"843221045314310147";https://twitter.com/ChurchillArmsW8/status/843221045314310147
jmartination;2017-03-18 18:53;0;0;"Had an awesome # SaintPatricksWeekend Celebration at # BellesLounge Guam USA with the awesome… https://www.instagram.com/p/BRykv5Il-bB/";;;# #;"843173443558391808";https://twitter.com/jmartination/status/843173443558391808
0alma0;2017-03-17 23:49;0;0;"Best way to explore the city! # SanAntonio # sunnyTexas # SaintPatricksWeekend # nikerun # justdoit @… https://www.instagram.com/p/BRwh6Jjjdng/";;@;# # # # #;"842885720964382721";https://twitter.com/0alma0/status/842885720964382721
Bar_Rumba;2017-03-15 12:06;1;0;"Coming sooooon! # saintpatricksweekend # weekendbestparty # fridaystart # drinktogetdrunk… https://www.instagram.com/p/BRqH4KlDBUT/";;;# # # #;"841984050155905024";https://twitter.com/Bar_Rumba/status/841984050155905024
jmartination;2017-03-14 06:07;0;1;"Happy # SaintPatricksWeekend Everyone and to all # Guam VIPeeps!!! Beginning this week, let us… https://www.instagram.com/p/BRm5-KkFIkl/";;;# #;"841531263211167745";https://twitter.com/jmartination/status/841531263211167745
maisydaisybaby;2017-03-13 19:15;0;0;"you poor baby you have to get better for # saintpatricksweekend";;;#;"841367067341250564";https://twitter.com/maisydaisybaby/status/841367067341250564
Nash19Cork;2017-03-13 10:50;0;2;"Welcoming the wild garlic oil with @ corkcitytourism # saintpatricksweekend pic.twitter.com/pPGsHLpDpL";;@;#;"841240039501774848";https://twitter.com/Nash19Cork/status/841240039501774848
karezarea;2017-03-12 05:51;0;0;"Quick stop to Chitown with fambam # saintpatricksweekend # imnotirish… https://www.instagram.com/p/BRhufgTgG2q7TKw2t8sKdo-pwWDdUTNGSgJxww0/ …";;;# #;"840802326575226880";https://twitter.com/karezarea/status/840802326575226880
