username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TheHRScholar;2018-02-13 23:48;0;0;"After a 3 year hiatus, it was nothing but good vibes on Fat Tuesday! # mardigras # fattuesday… https://www.instagram.com/p/BfJ-gw1gsXf/";;;# #;"963560654492745728";https://twitter.com/TheHRScholar/status/963560654492745728
PorterShields;2018-02-13 23:39;0;0;"Mood # mardigras # fattuesday # nola # neworleans # bourbonstreet # frenchquarter # thebigeasy… https://www.instagram.com/p/BfJ9Tf8BAHb/";;;# # # # # # #;"963558286963462145";https://twitter.com/PorterShields/status/963558286963462145
PorterShields;2018-02-13 23:35;0;0;"big easy # mardigras # fattuesday # nola # neworleans # bourbonstreet # frenchquarter… https://www.instagram.com/p/BfJ86YdBzk-/";;;# # # # # #;"963557145345167360";https://twitter.com/PorterShields/status/963557145345167360
SymphonySanders;2018-02-13 23:25;0;1;"# Mardigras 334 # Handstand @New Orleans, Louisiana https://www.instagram.com/p/BfJ7zsyHJv9/";;@New;# #;"963554711071805441";https://twitter.com/SymphonySanders/status/963554711071805441
FatBoiFresh17;2018-02-13 23:19;0;0;"New Orleans Original # MardiGras # ExclusiveThrows # KingsOfCarnival # Goodfellas # FEF # FreeWeezy… https://www.instagram.com/p/BfJ7MGzgh3-/";;;# # # # # #;"963553341648257024";https://twitter.com/FatBoiFresh17/status/963553341648257024
BobbyO504;2018-02-13 23:19;0;2;"February 12, 2018 # aden # presidents # nola #504 # mardigras @Cooter Brown's Tavern & Oyster Bar https://www.instagram.com/p/BfJ7G-xAurK/";;@Cooter;# # # #504 #;"963553174811480065";https://twitter.com/BobbyO504/status/963553174811480065
ladybug729;2018-02-13 23:15;0;1;"# mardigras # nola # neworleans @Old Metairie, Metairie https://www.instagram.com/p/BfJ6jkgA7Js/";;@Old;# # #;"963552127296724992";https://twitter.com/ladybug729/status/963552127296724992
FunkyBigSam;2018-02-13 23:08;1;10;"Had a great # mardigras w the fam! @St Charles Parade Route https://www.instagram.com/p/BfJ53y8B_5l/";;@St;#;"963550454968930305";https://twitter.com/FunkyBigSam/status/963550454968930305
Armakk;2018-02-13 23:07;0;0;"Went as a # dogwalker for # MardiGras. # dogsofneworleans # wienerdog # Harley # Speedy @Lost Love… https://www.instagram.com/p/BfJ5uWDhmBS/";;@Lost;# # # # # #;"963550134910050304";https://twitter.com/Armakk/status/963550134910050304
_swervvvv;2018-02-13 22:50;0;0;"Happy Mardi Gras! •••••••••••••••••••• # neworleans # mardigras # zulu # bubbles # marchingband… https://www.instagram.com/p/BfJ32iBg5kt/";;;# # # # #;"963546015423979521";https://twitter.com/_swervvvv/status/963546015423979521
tedd_walley;2018-02-13 22:44;0;0;"It's either Tuesday or it's Fat Tuesday. Mardi Gras in the Marigny! # mardigras # neworleans… https://www.instagram.com/p/BfJ3KpTlf8j/";;;# #;"963544503436169225";https://twitter.com/tedd_walley/status/963544503436169225
GoDjBlackNMild;2018-02-13 22:40;0;0;"When the crew is representing this # MardiGras s/o to @ godjcrip # godjsglobal # godjsla # go1045… https://www.instagram.com/p/BfJ2p8ynZUe/";;@;# # # #;"963543387306536960";https://twitter.com/GoDjBlackNMild/status/963543387306536960
yogottikom;2018-02-13 22:40;12;63;"NEW ORLEANS # MardiGras !!!!! @ yogottikom x @ moneybaggyo Tonight ! # FogiveUSForFebruary # CMG @… https://www.instagram.com/p/BfJ2pBEnIXh/";;@ @ @;# # #;"963543355111231490";https://twitter.com/yogottikom/status/963543355111231490
thosemeanreds;2018-02-13 22:30;1;1;"TONIGHT!!! # mardigras # bourbonorleans # neworleans # janmarieandthemeanreds @Bourbon "O" https://www.instagram.com/p/BfJ1VgxBn3Q/";;@Bourbon;# # # #;"963540788092264449";https://twitter.com/thosemeanreds/status/963540788092264449
mariacelis;2018-02-13 22:23;0;1;"Best. Photo. Bomb. Ever. My friend, neighbor and publican Robert Clark. # mardigras # carnival… https://www.instagram.com/p/BfJfTYtFN_w/";;;# #;"963539169439113217";https://twitter.com/mariacelis/status/963539169439113217
PeytonMcMahon;2018-02-13 22:10;0;1;"That moment when Mugatu meets a power ranger... Happy Mardi Gras y’all # MardiGras @Lafitte's… https://www.instagram.com/p/BfJzM0-FE26/";;@Lafitte;#;"963535783931064325";https://twitter.com/PeytonMcMahon/status/963535783931064325
sassymouthphoto;2018-02-13 22:09;0;0;"# mardigras in # nola # neworleans # bourbonstreet @Mardi Gras on Bourbon Street https://www.instagram.com/p/BfJzHMlnbe2/";;@Mardi;# # # #;"963535599578861569";https://twitter.com/sassymouthphoto/status/963535599578861569
LaurenRez;2018-02-13 22:07;0;0;"Happy # mardigras with some awesome mask pics taken in # neworleans # nola back in 2011… https://www.instagram.com/p/BfJyxKyFmoT/";;;# # #;"963535144672874496";https://twitter.com/LaurenRez/status/963535144672874496
Shijones;2018-02-13 22:07;0;0;"I'm out here quoting bible verses for breads. # Mardigras2018 # mardigras @Mardi Gras on… https://www.instagram.com/p/BfJy3BznD1x/";;@Mardi;# #;"963535037940600833";https://twitter.com/Shijones/status/963535037940600833
JasmineEnjoli;2018-02-13 22:01;0;0;"Happy Mardi Gras # happymardigras # laissezlesbontempsrouler # mardigras # mardigras2018… https://www.instagram.com/p/BfJyLL6h2zX/";;;# # # #;"963533527714271232";https://twitter.com/JasmineEnjoli/status/963533527714271232
strix1;2018-02-13 21:58;0;4;"Happy # MardiGras people! Be safe out there, do everything tonight that you will regret… https://www.instagram.com/p/BfJxwJXH_1D/";;;#;"963532911407452161";https://twitter.com/strix1/status/963532911407452161
lisaaybike;2018-02-13 21:53;0;0;"Today’s bead loot # beads # neworleans # mardigras # fattuesday # souvenirs # love @New Orleans,… https://www.instagram.com/p/BfJxRUsBQF2/";;@New;# # # # # #;"963531542143340544";https://twitter.com/lisaaybike/status/963531542143340544
Justin_Rhines;2018-02-13 21:45;0;1;"Happy Mardi Gras everyone aka Fat Tuesday Mardi Gras, down here in New Orleans # MardiGras… https://www.instagram.com/p/BfJwPlHAVSk/";;;#;"963529606182703104";https://twitter.com/Justin_Rhines/status/963529606182703104
bellasegari;2018-02-13 21:43;0;1;"Happy Mardi Gras! # mardigras # mardigras2018 # luckydog @New Orleans, Louisiana https://www.instagram.com/p/BfJv4H5HIQ2/";;@New;# # #;"963529059295776775";https://twitter.com/bellasegari/status/963529059295776775
bellasegari;2018-02-13 21:42;0;0;"Hail Rex! # mardigras # mardigras2018 @New Orleans, Louisiana https://www.instagram.com/p/BfJwD7qHLuX/";;@New;# #;"963528926780796928";https://twitter.com/bellasegari/status/963528926780796928
davidz621;2018-02-13 21:35;0;0;"Just caught the mask. # mardigras # nola # fun @FrenchQuarter NewOrleans https://www.instagram.com/p/BfJvN4IFF7_/";;@FrenchQuarter;# # #;"963527019257585664";https://twitter.com/davidz621/status/963527019257585664
mariacelis;2018-02-13 21:33;0;0;"Reunited in the afternoon! # mardigras # carnival # 7thward # treme @Sidney's Saloon https://www.instagram.com/p/BfJvDy5FP_Q/";;@Sidney;# # # #;"963526685437153280";https://twitter.com/mariacelis/status/963526685437153280
ministryofhappy;2018-02-13 21:28;0;0;"# dance brother # dance I # love Mardi Gras # parades # happy # mardigras and # fat # tuesday # photo… https://www.instagram.com/p/BfJuTudl5wC/";;;# # # # # # # # #;"963525256861319169";https://twitter.com/ministryofhappy/status/963525256861319169
ShortybEeeE;2018-02-13 21:28;0;0;"Chilling with @ whisperstjames about meet up with rest off the clicc happy # mardigras… https://www.instagram.com/p/BfJrnMml0kg/";;@;#;"963525236070211584";https://twitter.com/ShortybEeeE/status/963525236070211584
ministryofhappy;2018-02-13 21:27;0;0;"I # love Mardi Gras # parades # happy # mardigras and # fat # tuesday # photo from 2016 # party… https://www.instagram.com/p/BfJuX85ltsc/";;;# # # # # # # #;"963525173503823872";https://twitter.com/ministryofhappy/status/963525173503823872
ministryofhappy;2018-02-13 21:27;0;0;"I # love Mardi Gras # parades # happy # mardigras and # fat # tuesday # photo from 2016 # party… https://www.instagram.com/p/BfJuMBVlobl/";;;# # # # # # # #;"963525023028924416";https://twitter.com/ministryofhappy/status/963525023028924416
honeyboards;2018-02-13 21:24;0;0;"Mardi Gras goals:) Fly as eva!!! # gardendistrict # nola # neworleans # mardigras # louisiana @… https://www.instagram.com/p/BfJt9fvnpZ8/";;@;# # # # #;"963524258289905664";https://twitter.com/honeyboards/status/963524258289905664
JC_Cali;2018-02-13 21:24;0;0;"Happy # FatTuesday y feliz # Mardigras y'all. We survived another one #7 @Krewe of Zulu &… https://www.instagram.com/p/BfJtyiSnxl3/";;@Krewe;# # #7;"963524241235890177";https://twitter.com/JC_Cali/status/963524241235890177
ActiveGeek_;2018-02-13 21:19;0;1;"In honor of # mardigras here’s is a photo everyone’s favorite Cajun mutant. I still hope to see… https://www.instagram.com/p/BfJtdOChKfq/";;;#;"963523155930296321";https://twitter.com/ActiveGeek_/status/963523155930296321
sassymouthphoto;2018-02-13 21:01;0;0;"I finally got my # mufaletta # nola # mardigras # deliciousaf @New Orleans, Louisiana https://www.instagram.com/p/BfJqSYynxCF/";;@New;# # # #;"963518567873380352";https://twitter.com/sassymouthphoto/status/963518567873380352
NOLA_lawyer;2018-02-13 20:56;0;0;"I'm sorry you're not here. # fattuesday # mardigras # nola @FrenchQuarter NewOrleans https://www.instagram.com/p/BfJqyU3BavP/";;@FrenchQuarter;# # #;"963517290628157442";https://twitter.com/NOLA_lawyer/status/963517290628157442
sassymouthphoto;2018-02-13 20:52;0;0;"I finally got my # mufaletta # nola # mardigras # deliciousaf @New Orleans, Louisiana https://www.instagram.com/p/BfJqSYynxCF/";;@New;# # # #;"963516193872031744";https://twitter.com/sassymouthphoto/status/963516193872031744
erica_falls;2018-02-13 20:52;0;2;"Happy Mardi Gras !! And yes i'm home in my onesie # nolagirl # mardigras # homegrown # glitter… https://www.instagram.com/p/BfJqQ9oFCMn/";;;# # # #;"963516133142945792";https://twitter.com/erica_falls/status/963516133142945792
EthanW87;2018-02-13 20:47;0;0;"Check yourself before you # Rex yourself # mardigras # nola @Canal Street, New Orleans https://www.instagram.com/p/BfJpy23DXkk/";;@Canal;# # #;"963515109334306818";https://twitter.com/EthanW87/status/963515109334306818
JLuciano210;2018-02-13 20:44;0;0;"or ???? It’s officially # fattuesday so go listen to # MardiGras by… https://www.instagram.com/p/BfJpYxUHx-z/";;;# #;"963514203737751552";https://twitter.com/JLuciano210/status/963514203737751552
Adam_Polk;2018-02-13 20:29;0;0;"# MardiGras @Canal Street, New Orleans https://www.instagram.com/p/BfJnopmhKvR/";;@Canal;#;"963510345468993536";https://twitter.com/Adam_Polk/status/963510345468993536
jenn4treasurer;2018-02-13 20:27;0;0;"# NOLAMardiGras2018 y'all! # hiltonstcharles # MardiGras @Hilton St… https://www.instagram.com/p/BfJnfAYBnAybOmFfo5M3wrqxyP8dyAd8l2bZf80/ …";;@Hilton;# # #;"963510017721864192";https://twitter.com/jenn4treasurer/status/963510017721864192
Shaleyah;2018-02-13 20:24;0;0;"Happy # MardiGras TONIGHT we celebrate at Blue Nile, doors at 8:30!!! @Blue Nile https://www.instagram.com/p/BfJm_bMgkV7/";;@Blue;#;"963509085701369863";https://twitter.com/Shaleyah/status/963509085701369863
Juels_Jackson;2018-02-13 20:21;0;0;"# mardigras # indian @Uptown, New Orleans https://www.instagram.com/p/BfJmtHXgF8E/";;@Uptown;# #;"963508370492686336";https://twitter.com/Juels_Jackson/status/963508370492686336
Jensums;2018-02-13 20:03;0;0;"Had such a fabulous time marching in the debauchery. # mardigras… https://www.instagram.com/p/BfJkv2BlAavMYmHQxppACj6t9tHADFZp6T5JJc0/ …";;;#;"963504005971312642";https://twitter.com/Jensums/status/963504005971312642
n7pdv;2018-02-13 20:02;0;0;"Got my shirt and beads... # mardigras # fattuesday # pdvadventures @FrenchQuarter NewOrleans https://www.instagram.com/p/BfJkp5HHTwR/";;@FrenchQuarter;# # #;"963503787095805958";https://twitter.com/n7pdv/status/963503787095805958
kittenonthekeys;2018-02-13 20:01;0;0;"# frenchquarter # neworleans # mardigras # majesticasfuck @New Orleans, Louisiana https://www.instagram.com/p/BfJkUGCHXDG/";;@New;# # # #;"963503405607084034";https://twitter.com/kittenonthekeys/status/963503405607084034
andrewpward;2018-02-13 19:57;0;0;"Classy AF. # mardigras # fattuesday @New Orleans, Louisiana https://www.instagram.com/p/BfJkD_hh2w5S4qfe55VBuhTlSQf8GsNAUVyucA0/ …";;@New;# #;"963502499960426496";https://twitter.com/andrewpward/status/963502499960426496
vannickArtz;2018-02-13 19:49;0;0;"Rex Parade # mardigras @Lafayette Square https://www.instagram.com/p/BfJi-WrHnLk/";;@Lafayette;#;"963500323825438721";https://twitter.com/vannickArtz/status/963500323825438721
mlweiland;2018-02-13 19:47;0;0;"View from the lunch table # MardiGras (@The Blue Crab in New Orleans, LA w/ @ shelleysayssew) https://www.swarmapp.com/c/3E3UKxJLx36 pic.twitter.com/gza8Fjf5hS";;@The @;#;"963499957524353025";https://twitter.com/mlweiland/status/963499957524353025
TanudraBrandon;2018-02-13 19:45;0;0;"Gettin some coffee & Beignets! # neworleans # nawlins # coffee # beignets # mardigras #2018… https://www.instagram.com/p/BfJisHuhy1o/";;;# # # # # #2018;"963499476978753537";https://twitter.com/TanudraBrandon/status/963499476978753537
