username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SunGateHostel;2017-03-30 12:42;0;0;"Photos from Saint Patrick day and our great party # latepost # saintpatrick";;;# #;"847428732746817539";https://twitter.com/SunGateHostel/status/847428732746817539
rev3_20;2017-03-29 20:16;4;5;"Slemish- County Antrim-the first home of # Saintpatrick pic.twitter.com/PDZnLENC5q";;;#;"847180695617355776";https://twitter.com/rev3_20/status/847180695617355776
orgelnieuws;2017-03-27 07:08;0;2;"Great European Organs No. 99 - St Patrick’s Cathedral Dublin | http://wp.me/p6KwCZ-5tf # dublin # saintpatrick # orgel # review # organ # orgue";;;# # # # # #;"846257529898352640";https://twitter.com/orgelnieuws/status/846257529898352640
WearingTreasure;2017-03-26 14:55;1;0;"Pendant Sterling Silver four leav Clover of Good Luck http://tuppu.net/11ae49e # Etsy # SaintPatrick pic.twitter.com/CV2ORNMfoi";;;# #;"846012681828085763";https://twitter.com/WearingTreasure/status/846012681828085763
ddigitalnews;2017-03-26 02:56;0;0;"Forty-two police officers decapitated in Congo ambush http://dailydigitalnews.com/single-article-view.php?article=145641 … # news # kamwinansapumilitia # saintpatrick";;;# # #;"845831840497893376";https://twitter.com/ddigitalnews/status/845831840497893376
Pikanoa1;2017-03-25 12:02;2;5;"Homer Simpson St Patrick finger painting - Pikanoa https://youtu.be/kQHbg8bTEJc # thesimpsons # stpartick # saintpatrick # lessimpsons @ homerjsimpson";;@;# # # #;"845606737403138049";https://twitter.com/Pikanoa1/status/845606737403138049
ChildOfTruth;2017-03-24 23:51;0;0;"Why is Neo-Paganism rising? http://comeintothehouseoftruth.blogspot.com/2017/03/neo-paganism_24.html … # Celts # idol # pagan # SaintPatrick # NativeAmerican # NeoPaganism # HouseOfTruth";;;# # # # # # #;"845422739758469121";https://twitter.com/ChildOfTruth/status/845422739758469121
DC_United1;2017-03-24 02:48;0;0;"Sermon for March 19 Saints Both Big and Small John 4:5-42 http://www.dc-church.org/index.php?page=Message … # UCCan # OttawaChurch # sermon # John # SaintPatrick # saints";;;# # # # # #;"845105118450200580";https://twitter.com/DC_United1/status/845105118450200580
baumanw1;2017-03-24 00:21;0;0;"Lord of the dance. . . . # workhard # saintpatricksday # saintpatrick # lordofthednce # dance # irish… https://www.instagram.com/p/BSACW-bD6kM/";;;# # # # # #;"845068137703899139";https://twitter.com/baumanw1/status/845068137703899139
tschudyreviews1;2017-03-22 20:35;1;0;"St patricks day, saint Patrick, green Irish, four leaf clover, shamrock… http://etsy.me/2kKqmbP # Etsy # SaintPatrick pic.twitter.com/Q1NaOM4GI2";;;# #;"844648827659472896";https://twitter.com/tschudyreviews1/status/844648827659472896
clarissavianna;2017-03-22 14:34;0;0;"Brazilian St Patrick's Day party . . . # aboutlastweekend # saintpatrick # stpatricksday @… https://www.instagram.com/p/BR8aXAqBw-q/";;@;# # #;"844557966493700097";https://twitter.com/clarissavianna/status/844557966493700097
jarishel;2017-03-22 02:43;0;0;"# BuiltStructure # BuildingExterior # Architecture # Outdoors # Adult # People # UTCBuisnesCenter # SaintPatrick'sDay... http://EyeEm.com/p/102586132";;;# # # # # # # #;"844378921261023232";https://twitter.com/jarishel/status/844378921261023232
