username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LemonDropIcing;2017-03-30 23:53;0;0;"On the flip side, never poor cold beer into your Lucky Charms cereal. # StPatricksDay # ruinafoodpic.twitter.com/iJJ4K841Xc";;;# #;"847597573057769472";https://twitter.com/LemonDropIcing/status/847597573057769472
jodyfisher;2017-03-30 23:02;0;0;"Maybe green neon left over from # StPatricksDay!";;;#;"847584823875178496";https://twitter.com/jodyfisher/status/847584823875178496
ChasingCliffs;2017-03-30 22:52;0;0;"It's St. Patrick's month, right? # Guiness # Jameson # StPatricksDay pic.twitter.com/pylLZRgKkv";;;# # #;"847582420769452032";https://twitter.com/ChasingCliffs/status/847582420769452032
dakotablack13;2017-03-30 22:50;0;0;"Carrying the # 69thinfantryregiment colors on # stpatricksday # nyc # tbt #2008 https://www.instagram.com/p/BSR5ebjha2y/";;;# # # # #2008;"847581878269886464";https://twitter.com/dakotablack13/status/847581878269886464
JoyfulByNature;2017-03-30 22:50;1;0;"Unique gemstone bracelets - Irish Pub & Pint of Stout +more! http://buff.ly/1LMUchu # etsymntt # beer # stpatricksday";;;# # #;"847581713530093568";https://twitter.com/JoyfulByNature/status/847581713530093568
irishslang;2017-03-30 22:37;0;0;"Away an wash the back of yer bollox http://dlvr.it/NmHYjr # StPatricksDay";;;#;"847578467012976641";https://twitter.com/irishslang/status/847578467012976641
UJColumbia;2017-03-30 22:33;0;0;"The Reagan Years !!!! # tbt # unionjackscolumbia # StPatricksDay pic.twitter.com/iAHFQnX08c";;;# # #;"847577448166203393";https://twitter.com/UJColumbia/status/847577448166203393
JCAbelson;2017-03-30 22:27;0;4;"NEW BLOG POST TOMORROW!!! Celebrating St. Patrick’s Day in Boston # Boston # StPatricksDay # stpatricksdayparade # blog # blogger # blogging";;;# # # # # #;"847575991388188672";https://twitter.com/JCAbelson/status/847575991388188672
mgb1555;2017-03-30 22:15;0;1;"A little luck never hurts. What lucky charm do you ride with? # StPatricksDay # KeepRidersRidingpic.twitter.com/yNWIw0MVn6";;;# #;"847573085867737088";https://twitter.com/mgb1555/status/847573085867737088
JamesSel_;2017-03-30 22:05;0;0;"# tbt to # stpatricksday with otterman869. Yes, he has #69 in his # instahandle. - - # hairygay… https://www.instagram.com/p/BSR0U__DTy0/";;;# # #69 # #;"847570558078398464";https://twitter.com/JamesSel_/status/847570558078398464
GeekWithGun;2017-03-30 22:05;0;0;"# loving this # stpatricksday http://amzn.to/2luc3YR";;;# #;"847570461755977728";https://twitter.com/GeekWithGun/status/847570461755977728
havinaday;2017-03-30 22:01;3;9;"Throwback to all the support we got for our St Patrick's day shirts. # tbt # havinaday # stpatricksday # lifeisgood # ireland # haveaday # explorepic.twitter.com/n605M1RK8q";;;# # # # # # #;"847569589454213120";https://twitter.com/havinaday/status/847569589454213120
ButcherRetired;2017-03-30 21:20;0;0;"Youse want to go to # NewYork for # StPatricksDay , Carnegie couldn't stick it https://twitter.com/anaglogsdaughtr/status/847554438999007232 …";;;# #;"847559058689339393";https://twitter.com/ButcherRetired/status/847559058689339393
PINKTEEGAN;2017-03-30 21:04;0;0;"# StPatricksDay yummy";;;#;"847555034145591296";https://twitter.com/PINKTEEGAN/status/847555034145591296
Ski_Massage;2017-03-30 21:00;0;0;"Imagine # StPatricksDay rubbed down with peppermint oil & aroma of Irish Cream candles - You can have it all! http://skimassage.net";;;#;"847554063239708672";https://twitter.com/Ski_Massage/status/847554063239708672
trulyfuchsia;2017-03-30 20:41;0;0;"Follow & RT to win a box of each of our delicious Guinness crisps. Ends 31/03/17. Full T&Cs: http://bit.ly/2mFyCa7 # StPatricksDay";;;#;"847549325945311232";https://twitter.com/trulyfuchsia/status/847549325945311232
FamNeeds2Know;2017-03-30 20:39;0;0;"Gifts for all occassions http://bit.ly/MK_Occassions # birthday # holidays # stpatricksday # easter # christmas";;;# # # # #;"847548771215040513";https://twitter.com/FamNeeds2Know/status/847548771215040513
FredelB3;2017-03-30 20:25;0;2;"St. Patrick's Day 3/17/17 # connectedcommunity # dogtown # outsideliving # StPatricksDay pic.twitter.com/66p5X96kSt";;;# # # #;"847545253531987968";https://twitter.com/FredelB3/status/847545253531987968
JoyfulByNature;2017-03-30 20:04;4;0;"Mini cards - flowers, ferns, Irish & more •Handmade, set of any 5 w/envelopes. http://buff.ly/2oj7boe # etsymntt # stpatricksday # giftcardspic.twitter.com/Tzi8ouo2OI";;;# # #;"847539968889245696";https://twitter.com/JoyfulByNature/status/847539968889245696
xdsusa;2017-03-30 19:54;0;0;"# 13u # casagrandecrush March 18-19, 2017 # stpatricksday # champions # xtremediamondsports http://fb.me/5NcRbS6A4";;;# # # # #;"847537486423261188";https://twitter.com/xdsusa/status/847537486423261188
Toffeepiglet;2017-03-30 19:39;0;0;"Guinness crisps! Fantastic - bringing two of the finest things in life together! Just had to retweet # StPatricksDay pic.twitter.com/kNOFRmFPp0";;;#;"847533758886682624";https://twitter.com/Toffeepiglet/status/847533758886682624
irishslang;2017-03-30 19:35;1;1;"ya big footed galute ya http://dlvr.it/NmDb4B # StPatricksDay";;;#;"847532659945259008";https://twitter.com/irishslang/status/847532659945259008
The_Rusty_Nail1;2017-03-30 19:08;0;0;"Check out Handmade Wooden Leprechaun # StPatricksDay # Leprechaun # TheRustyNail http://www.ebay.com/itm/Handmade-Wooden-Leprechaun-/262916517799?roken=cUgayN&soutkn=6gaYMb … via @ eBay";;@;# # #;"847526076641398789";https://twitter.com/The_Rusty_Nail1/status/847526076641398789
deerlakesgolf;2017-03-30 19:08;0;0;"Hope you have a great St. Patricks Day! # stpatricksday # golfpic.twitter.com/qkka4Tx15r";;;# #;"847525889197965316";https://twitter.com/deerlakesgolf/status/847525889197965316
TheFoodShows;2017-03-30 19:08;0;0;"There's plenty of time to ENTER and VOTE in our # StPatricksDay Photo Contest! http://wshe.es/L3vRpcyd # contest # win # foodcontestpic.twitter.com/4ZC0C7NBk8";;;# # # #;"847525845413625862";https://twitter.com/TheFoodShows/status/847525845413625862
TysonHalford;2017-03-30 18:53;0;0;"# tbt # throwbackthursday # stpatricksday # stpaddysonperry Photo Credit Gwinnett Event Photography https://www.instagram.com/p/BSReUGwgDw1/";;;# # # #;"847522147325136897";https://twitter.com/TysonHalford/status/847522147325136897
celtfiddler;2017-03-30 18:35;0;0;"Feeling # lucky! Love this shirt! # StPatricksDay http://amzn.to/2l2J0cN";;;# #;"847517595762696192";https://twitter.com/celtfiddler/status/847517595762696192
CateAdair;2017-03-30 18:10;0;0;"Go green. Here are some options-> http://www.fash365.com/2017/03/find-your-pot-full-of-gold.html … … # StPatricksDay https://twitter.com/Fash365/status/841421305446457345/photo/1pic.twitter.com/96woaufWJ6";;;#;"847511299588112384";https://twitter.com/CateAdair/status/847511299588112384
WorkatSSUSA;2017-03-30 17:52;0;0;"@ SafeStreetsUSA1 Goes Green on St. Patrick's Day! # StPatricksday # gogreen # potofgold # sacvengerhunt pic.twitter.com/4RsdW5i1D5pic.twitter.com/kRFfbWFvlz";;@;# # # #;"847506722193154048";https://twitter.com/WorkatSSUSA/status/847506722193154048
AaronRFernandes;2017-03-30 17:50;0;0;"MARIAH Carey Has a Fun-Filled St. Patrick's With Bryan TANAKA! http://bit.ly/2nA54wq # bryantanaka # mariahcarey # stpatricksday";;;# # #;"847506413911891969";https://twitter.com/AaronRFernandes/status/847506413911891969
ScottyShmorris;2017-03-30 17:45;0;0;"Had a great st pattys weekend this year. Good times with good people # tbt # stpatricksday # corona https://www.instagram.com/p/BSRWk5Ijf-S/";;;# # #;"847505136947748864";https://twitter.com/ScottyShmorris/status/847505136947748864
AidanLogan;2017-03-30 17:38;0;0;"Here's a clip from my performance in @ BluebirdCafeTN on # StPatricksDay @ BelNash # PanartsNashvilleSongwriters # Nashville # OriginalMusic # OF";;@ @;# # # # #;"847503276316573696";https://twitter.com/AidanLogan/status/847503276316573696
hotel_travesty;2017-03-30 17:29;0;0;"RT @ hotel_travesty: # StPatricksDay # StPaddysDay Lets go win some green # vegas during # springbreak17! Click here for best rates # vegas ...";;@;# # # # #;"847500946141716486";https://twitter.com/hotel_travesty/status/847500946141716486
WkndCelebrity;2017-03-30 17:11;0;1;"Bucket list Being on a float in # ireland playing in the # stpatricksday parade. Tour video coming soon!... http://fb.me/5StUJroqu";;;# #;"847496531519225856";https://twitter.com/WkndCelebrity/status/847496531519225856
morninglaurie;2017-03-30 17:00;0;0;"Green # Opal # Earrings # Celtic # Handmade # NorthCoastCottage # Jewelry http://buff.ly/2ohzvY4 # shopping # stpatricksday # birthstone # giftideaspic.twitter.com/2UatPMXXvd";;;# # # # # # # # # #;"847493682001453056";https://twitter.com/morninglaurie/status/847493682001453056
NamelyMarly;2017-03-30 16:58;0;0;"Serve this Vegan Irish Soda Bread freshly baked with dinner 2night! http://bit.ly/2lwxi8B # StPatricksDay # TastesLikeBetter # ad @ lovemysilkpic.twitter.com/pGtzl49oMu";;@;# # #;"847493164659126273";https://twitter.com/NamelyMarly/status/847493164659126273
instantlydelish;2017-03-30 16:36;0;0;"Pinned to Food Photos on @ Pinterest: # stpatricksday # cornedbeef # instantpot # instantlydelicious # yummy # eeeeats # i… http://ift.tt/2ofy14b";;@;# # # # # # #;"847487712995155968";https://twitter.com/instantlydelish/status/847487712995155968
trylissa;2017-03-30 16:32;0;1;"Late as i knew itd be lol # StPatricksDay # cupcakes # vloghttps://youtu.be/cBcOcOYRyMo";;;# # #;"847486701383462912";https://twitter.com/trylissa/status/847486701383462912
irishslang;2017-03-30 16:31;0;1;"He Couldn't Punch A Hole Through A Wet Paper Bag http://dlvr.it/Nm92v2 # StPatricksDay";;;#;"847486371992186880";https://twitter.com/irishslang/status/847486371992186880
Lensmen_Visual;2017-03-30 16:21;0;1;"You might be in the Parade @ TourismIreland # StPatricksDay @ stpatricksfest # PaddysDay # LoveDublin @ VisitDublinhttps://vimeo.com/210776786?ref=tw-share …";;@ @ @;# # #;"847484013249941506";https://twitter.com/Lensmen_Visual/status/847484013249941506
IAmStrangely;2017-03-30 16:07;0;1;"Over # StPatricksDay @ aaronjshay and I performed kingandkingranch. We had a wonderful time… https://www.instagram.com/p/BSRLQe6hFmt/";;@;#;"847480329971486721";https://twitter.com/IAmStrangely/status/847480329971486721
celtfiddler;2017-03-30 16:05;0;0;"I don't need # luck. I'm a # Grandma. http://amzn.to/2l1Z29L # StPatricksDay";;;# # #;"847479894854389760";https://twitter.com/celtfiddler/status/847479894854389760
DanRooneys;2017-03-30 16:02;1;2;"Throwback to one of our favorite days, # StPatricksDay! Did you celebrate with us? # Yonkers # Jameson # Westchester # TBTpic.twitter.com/WWrETVk0fg";;;# # # # #;"847479103842164736";https://twitter.com/DanRooneys/status/847479103842164736
TshirtPainter;2017-03-30 15:15;0;0;"# Irish # Pirate Pub with Irish # skull and shamrocks for # StPatricksDay shirts # Cafepress https://www.pinterest.com/tshirtpainter/st-patricks-day-t-shirts …pic.twitter.com/jfipEcXgEI";;;# # # # #;"847467202756329473";https://twitter.com/TshirtPainter/status/847467202756329473
Bernies_BHR;2017-03-30 15:13;0;0;"Looks like we had some festive guests at # BHR on # StPatricksDay! # TBTpic.twitter.com/5TAHadwmrl";;;# # #;"847466906034548736";https://twitter.com/Bernies_BHR/status/847466906034548736
Ski_Massage;2017-03-30 15:00;0;0;"Celebrate # StPatricksDay! Treat yourself to a Top o' the Season Massage with Leprechaun Heather Reddig. http://skimassage.net";;;#;"847463461038706693";https://twitter.com/Ski_Massage/status/847463461038706693
ElainaMatthews;2017-03-30 14:39;0;0;"# TBT to that time cousins run into each other on St. Patrick's day. # indy # stpatricksday… https://www.instagram.com/p/BSRBSoPhXPk/";;;# # #;"847458328133287936";https://twitter.com/ElainaMatthews/status/847458328133287936
TheFoodShows;2017-03-30 14:07;0;0;"There's plenty of time to ENTER and VOTE in our # StPatricksDay Photo Contest! http://wshe.es/L3vRpcyd # contest # win # foodcontestpic.twitter.com/fuZRLtmW7P";;;# # # #;"847450097193435136";https://twitter.com/TheFoodShows/status/847450097193435136
YeahMagazine1;2017-03-30 13:46;2;1;".@Bero_Eire_Peru reports on # StPatricksDay: ( # DíaDeSanPatricio # Dublin # Irlanda) http://yeahenglish.net/?p=2025 # Paddysdaypic.twitter.com/e8sjl5lLku";;@Bero_Eire_Peru;# # # # #;"847444843009761280";https://twitter.com/YeahMagazine1/status/847444843009761280
kates_photo;2017-03-30 13:37;0;1;"Now that's the face of someone # happy with his # 1st # bday # cake! # stpatricksday # cakesmash # babyphotos # napcp # bostonphotographer # sudburypic.twitter.com/vLiYjQdHxv";;;# # # # # # # # # #;"847442746415632385";https://twitter.com/kates_photo/status/847442746415632385
irishslang;2017-03-30 13:26;0;0;"Ill Cut Rashers Off Youre Arse http://dlvr.it/Nm58Fk # StPatricksDay";;;#;"847439946621239297";https://twitter.com/irishslang/status/847439946621239297
TjDaDeeJay;2017-03-30 13:16;0;0;"# TBT to # StPatricksDay in Montserrat!!!...shout out to all ma leprechauns!! http://fb.me/1jJKFTUre";;;# #;"847437402167623682";https://twitter.com/TjDaDeeJay/status/847437402167623682
Marterus92;2017-03-30 13:13;0;0;"My St. Patricks day, 2 weeks ago # irish # stpatricksday # tardis https://www.instagram.com/p/BSQ3ZHLhIk6/";;;# # #;"847436558802145280";https://twitter.com/Marterus92/status/847436558802145280
VENTEVENTCO;2017-03-30 13:02;0;2;"I just entered a @ Polyvore contest: Go Green! # GREEN # stpatricksday # happystpatricksday http://polyv.re/2mX1yh6 # polyvoreStyle";;@;# # # #;"847433780897865728";https://twitter.com/VENTEVENTCO/status/847433780897865728
AmyJRomine;2017-03-30 12:48;0;1;"Happy St Patricks Day!! Luck of the blarney to all the tweeps of the world! # stpatricksday # luck # gogreenpic.twitter.com/b5C7Piv84m";;;# # #;"847430254998151168";https://twitter.com/AmyJRomine/status/847430254998151168
dipsymummy;2017-03-30 12:20;0;0;"@ BurtsChips Follow & RT to win a box of each of our delicious Guinness crisps. Ends 31/03/17. Full http://ln.is/www.burtschips.com/0SUbX … … # StPatricksDay";;@;#;"847423306143748096";https://twitter.com/dipsymummy/status/847423306143748096
dipsymummy;2017-03-30 12:17;0;0;"Follow & RT to win a box of each of our delicious Guinness crisps. Ends 31/03/17.T&Cs: http://ln.is/www.burtschips.com/v5Sl5 … # StPatricksDay";;;#;"847422428061892609";https://twitter.com/dipsymummy/status/847422428061892609
Politicscanadia;2017-03-30 12:09;0;0;"SeamusORegan: RT SeamusORegan: With Cousins Sarah & Jane for # StPatricksDay. A late post, but those trousers there… https://twitter.com/i/web/status/847258922725462017 …";;;#;"847420477014392832";https://twitter.com/Politicscanadia/status/847420477014392832
IHBCircle;2017-03-30 11:41;0;1;"Thanks @ theavatao for coming @ IHBCircle @ markfelegyhazi # StPatricksDay https://twitter.com/theavatao/status/847353043666350080 …";;@ @ @;#;"847413578571198467";https://twitter.com/IHBCircle/status/847413578571198467
Pants_Labyrinth;2017-03-30 11:29;2;0;"It's show day! Join us for laughs and libations @ JacksLondon tonite! Doors 630pm # ldot # ldnont # ldnent # improv # whatsonlondon # stpatricksday pic.twitter.com/qOAKo6XvHR";;@;# # # # # #;"847410559557410817";https://twitter.com/Pants_Labyrinth/status/847410559557410817
TsunamiTalks;2017-03-30 11:24;1;1;"Comedian @ ktrain89 and I had such a good time on # StPatricksDay I forgot to post this! Tune in and # StayWet Link in biopic.twitter.com/oXIuoDYcy8";;@;# #;"847409081665048576";https://twitter.com/TsunamiTalks/status/847409081665048576
TheWhiskyphiles;2017-03-30 11:19;0;2;"Irish Coffee Masterclass with @ JamesonWhiskey # StPatricksDay # Dublinhttps://thewhiskyphiles.com/2017/03/30/irish-coffee-masterclass-with-jameson-irish-whiskey/ …";;@;# #;"847407996854353922";https://twitter.com/TheWhiskyphiles/status/847407996854353922
Bordbia;2017-03-30 11:06;3;7;"Spotted this? @ IrishFoodMag highlights # StPatricksDay celebrations of # IrishFood in Embassies around the world http://goo.gl/LYzlxB pic.twitter.com/P45uY0mmce";;@;# #;"847404620297117696";https://twitter.com/Bordbia/status/847404620297117696
LutonBID;2017-03-30 10:30;0;1;"Did you catch the @ lutonnews video of @ IrishinLuton # StPatricksDay parade in # Luton town centre?http://ow.ly/ofYv30aoBFE";;@ @;# #;"847395607299760131";https://twitter.com/LutonBID/status/847395607299760131
irishslang;2017-03-30 10:22;0;0;"Ye Never Saw A Cow Sh*t An' Didn't Long Fir A Pancake http://dlvr.it/Nm1TXK # StPatricksDay";;;#;"847393522646790148";https://twitter.com/irishslang/status/847393522646790148
AroundOMedia;2017-03-30 09:25;2;3;"Be a # leader! Use http://socialfave.net  daily and Nice # StPatricksDay! # StartUp # MakeYourOwnlane # ai # ml # dji... by # Socialfavepic.twitter.com/OcJ1bijPkb";;;# # # # # # # #;"847379243570876416";https://twitter.com/AroundOMedia/status/847379243570876416
OptioneerJM;2017-03-30 09:25;0;0;"Socialfave: RT Socialfave: Be a # leader! Use http://ln.is/socialfave.net/fZzGQ … daily and Nice # StPatricksDay! # StartUp # Mak… https://twitter.com/i/web/status/842786609472983044 …";;;# # # #;"847379221521416194";https://twitter.com/OptioneerJM/status/847379221521416194
James40969;2017-03-30 09:24;0;0;""@PeekabooLuvv: Any takers? # StPatricksDay # kissmeimirish # Chivette https://twitter.com/PeekabooLuvv/status/842826887995047941/photo/1pic.twitter.com/a0cDHOKuLv " Good Morning Gorgeous";;@PeekabooLuvv;# # #;"847378911411314689";https://twitter.com/James40969/status/847378911411314689
valentine6769;2017-03-30 08:52;0;0;"Follow & RT to win a box of each of our delicious Guinness crisps. 31/03/17. Full T&Cs: http://bit.ly/2mFyCa7 # StPatricksDay pic.twitter.com/ll1CHOBgQ1";;;#;"847371032038002688";https://twitter.com/valentine6769/status/847371032038002688
JoyfulByNature;2017-03-30 08:39;3;0;"Mini cards - flowers, ferns, Irish & more •Handmade, set of any 5 w/envelopes. http://buff.ly/2oj6ZoY # etsymntt # stpatricksday # giftcardspic.twitter.com/KA3Rt1jedN";;;# # #;"847367554637062148";https://twitter.com/JoyfulByNature/status/847367554637062148
theavatao;2017-03-30 07:41;3;5;"The @ IHBCircle event at St Patrick's was great. Thanks to the organizers for putting this together. @ markfelegyhazi # StPatricksDay pic.twitter.com/Vxgof9EBs9";;@ @;#;"847353043666350080";https://twitter.com/theavatao/status/847353043666350080
themousepolice1;2017-03-30 07:08;0;1;"Leprechauns are seen, every March Seventeen # marchseventeen # stpatricksday # pfsixwordstory… https://www.instagram.com/p/BSQNTgbDTHJ/";;;# # #;"847344666387161088";https://twitter.com/themousepolice1/status/847344666387161088
Jameson_EA;2017-03-30 06:09;0;1;"A chance to win a fully paid trip to Dublin for # StPatricksDay 2018 comes to an end today. You still have time to # CheersYourJameson thoughpic.twitter.com/BCHr4By3Bf";;;# #;"847330016568385537";https://twitter.com/Jameson_EA/status/847330016568385537
HireVelocity;2017-03-30 04:31;0;0;"May be after # StPatricksDay but you can still follow the recruiting rainbow to your golden candidate! # rpohttps://twitter.com/hirevelocity/status/842797758637637632 …";;;# #;"847305239417966592";https://twitter.com/HireVelocity/status/847305239417966592
irishslang;2017-03-30 04:15;0;0;"Up Her Own Arse http://dlvr.it/Nlvbv3 # StPatricksDay";;;#;"847301153071157248";https://twitter.com/irishslang/status/847301153071157248
Travel2Party;2017-03-30 03:30;4;0;"Who was in Dublin for # StPatricksDay http://ow.ly/qSf230afdCD";;;#;"847289861434363908";https://twitter.com/Travel2Party/status/847289861434363908
