username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DrX_ToBeSure;2018-03-28 12:25;0;0;"Anyone else suffer from pin-nesia? Celebrate St Patrick's day all year round with your book of # limericks by Dr X; https://buff.ly/2IqAsr4 # SaintPatricksDay # StPatricksDay2018 # SaintPatricksDay2018 # StPatricksDay2019 # SaintPatricksDay2019 # Poem # Humour # Funny # CreditCardpic.twitter.com/9PpOGzArW3";;;# # # # # # # # # #;"978971230119301122";https://twitter.com/DrX_ToBeSure/status/978971230119301122
mumcatorg;2018-03-23 16:23;1;2;"Retweeted Merit Pit Bull ( @ themeritpitbull): Happy St. Pitties Day! or Saint Patrick's, however you roll # tardytweet # SaintPatricksDay2018 # adopt Petunia or Wallace via http://MPBF.org pic.twitter.com/Ynd9mdS59R";;@;# # #;"977219189281837057";https://twitter.com/mumcatorg/status/977219189281837057
tdv_fr;2018-03-23 15:57;0;1;"# NewProfilePic Like a leprechaun # SaintPatricksDay2018 pic.twitter.com/03fu0ovLem";;;# #;"977212784298680321";https://twitter.com/tdv_fr/status/977212784298680321
CaptainHyena;2018-03-23 14:22;0;0;"# saintpatricksday2018 # # самыймаленькийпаб @Mr. O'neill's Pub https://www.instagram.com/p/Bgqz54bA84k/";;@Mr;# # #;"977188860970053632";https://twitter.com/CaptainHyena/status/977188860970053632
williamkozy;2018-03-23 14:07;0;0;"Happy Belated St. Patrick's Day. By like a week. # StPatricksDay # StPaddysDay # StPatricksDay2018 # StPattysDay # SaintPatricksDay # SaintPatrick # SaintPatricksDay2018 # SaintPatricksWeekend @ stpatricksfest @ StPatricks @ StPatricksDay5K @ SaintPatrickD17 @ stpatsparadeliv @ stpatricksdayhhpic.twitter.com/jbW00BeAY4";;@ @ @ @ @ @;# # # # # # # #;"977185004353617920";https://twitter.com/williamkozy/status/977185004353617920
DrX_ToBeSure;2018-03-23 02:17;0;1;"Anyone else have 10 pairs of mop shoes or is it just me? Get your book of limericks here; http://vividpublishing.com.au/tobesure/ # Limericks # SaintPatricksDay # StPatricksDay2018 # SaintPatricksDay2018 # StPatricksDay2019 # SaintPatricksDay2019 # Poem # humour # Funnypic.twitter.com/cQ4aQnBTCz";;;# # # # # # # # #;"977006444124848128";https://twitter.com/DrX_ToBeSure/status/977006444124848128
emeraldcityband;2018-03-22 16:31;0;0;"A little latin fuego for St. Patty's Day @thebrixtonplano # emeraldcityband # saintpatricksday # saintpatricksday2018 https://www.facebook.com/emeraldcitybanddallas/videos/10156236015092480/ …";;@thebrixtonplano;# # #;"976858816284385285";https://twitter.com/emeraldcityband/status/976858816284385285
Afroopowerr;2018-03-21 08:42;0;0;"How BEAUTIFUL is this! The statue of the "Lion of Judah" in Addis Ababa turned green in honor of # SaintPatricksDay2018. Should be taken as a national icon of the country just like Eiffel tower in France. # Ethiopiahttps://twitter.com/addis_fortune/status/976367853564768256 …";;;# #;"976378553544728576";https://twitter.com/Afroopowerr/status/976378553544728576
ManOfTommorrow;2018-03-21 07:36;0;0;"Retweeted Adrien Mauduit ( @ ADphotography24): I guess this one should have been my # SaintPatricksDay2018 from Senja in # norway How would you feel standing by the fjords drowned in an ocean of green... https://www.facebook.com/SUPERMANBATMANALEXTHEGREATEST/posts/1748784175183804 …";;@;# #;"976361891726528512";https://twitter.com/ManOfTommorrow/status/976361891726528512
artechristine91;2018-03-21 06:24;0;0;"My OC, Ivar, in Saint Patrick's day theme. Hope you had a good St. Patty's day. # SaintPatricksDay # sketchbook # SaintPatricksDay2018 # shamrock # art # originalcharacter # stabilo # papermatepic.twitter.com/h3wXgoeAJL";;;# # # # # # # #;"976343817157623808";https://twitter.com/artechristine91/status/976343817157623808
