username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BarleyRepublic;2017-03-28 12:33;1;1;"Thank you St. Augustine you have created a monster!!! # StefKong # barleyrepublic # saintpatricksday2017... http://fb.me/5O3JLW54W";;;# # #;"846701900359700484";https://twitter.com/BarleyRepublic/status/846701900359700484
tarashain4;2017-03-19 23:48;0;0;"Always a fun time with these 2 ladies # saintpatricksday2017… https://www.instagram.com/p/BR1rYK2lSSKaHD1IknXTc4-NQ7Q770r4rxy0p80/ …";;;#;"843610235717763072";https://twitter.com/tarashain4/status/843610235717763072
HalfwayCafe;2017-03-19 20:34;0;0;"# SaintPatricksDay2017 was a blast! Thanks to everyone who celebrated with your # Halfway Family!pic.twitter.com/WniXM2S8Lx";;;# #;"843561404892352512";https://twitter.com/HalfwayCafe/status/843561404892352512
BrookKitchenTap;2017-03-19 20:33;0;1;"Thanks to everyone who came out for our Maynard Pub Crawl! Great Cause with Great Friends! Til' next year! # SaintPatricksDay2017 pic.twitter.com/KzbWMd5hRo";;;#;"843560961030213632";https://twitter.com/BrookKitchenTap/status/843560961030213632
GeoffreyIRL;2017-03-19 15:52;0;1;"I see now why Cavanagh Bridge is pedestrian - designed to take four times' its weight # SaintPatricksDay2017 pic.twitter.com/t66aAH0jOS";;;#;"843490275288797185";https://twitter.com/GeoffreyIRL/status/843490275288797185
CherryWAS;2017-03-19 05:43;0;0;"Saint Patty's Day all weekend!!! Last nights shenanigans. # SaintPatricksDay2017 # Funtimes @… https://www.instagram.com/p/BRzvLd9Ffgj/";;@;# #;"843337120144154624";https://twitter.com/CherryWAS/status/843337120144154624
CherryWAS;2017-03-19 01:34;0;1;"Saint Patrick's Day selfie vid! # SaintPatricksDay2017 @L' SCORPION https://www.instagram.com/p/BRzSojKFd6r/";;@L;#;"843274345011183617";https://twitter.com/CherryWAS/status/843274345011183617
CutThePlastic;2017-03-18 21:53;0;0;"Internet win # saintpatricksday2017 # StPatricksDay # princesses https://www.instagram.com/p/BRy5YsGgUpx/";;;# # #;"843218817501319168";https://twitter.com/CutThePlastic/status/843218817501319168
3stairs;2017-03-18 20:24;0;0;"My wrap for yesterday # StPatricksDay # SaintPatricksDay # StPatricksDay2017 # SaintPatricksDay2017… https://www.instagram.com/p/BRyvMi8F4A_/";;;# # # #;"843196414024962048";https://twitter.com/3stairs/status/843196414024962048
ScottClemenson;2017-03-18 16:35;0;1;"Lucky # SaintPatricksDay2017 @Helen Fitzgerald's https://www.instagram.com/p/BRyVAGDDBuFRIT4JjIZho6D-6qFFSLCKQqjM440/ …";;@Helen;#;"843138809009192960";https://twitter.com/ScottClemenson/status/843138809009192960
alexareneeee;2017-03-18 16:18;0;0;"I survived # SaintPatricksDay2017";;;#;"843134643356491776";https://twitter.com/alexareneeee/status/843134643356491776
JulieGengo;2017-03-18 06:21;0;0;"# saintpatricksday2017 @Branch Line https://www.instagram.com/p/BRxOvJsgXHV/";;@Branch;#;"842984291348955136";https://twitter.com/JulieGengo/status/842984291348955136
CheCheFrazier;2017-03-18 06:12;0;2;"A little late but went 2 Sonic 2 get some grub 4 St. Patrick's Day! # saintpatricksday2017 # sonic… https://www.instagram.com/p/BRxNvGfgSCc/";;;# #;"842982097249861632";https://twitter.com/CheCheFrazier/status/842982097249861632
Pandagrl27;2017-03-18 05:30;0;1;"S'mores kinda night # fridaynight # saintpatricksday2017 # peruviangirls # goodtimes… https://www.instagram.com/p/BRxI2__BE6I/";;;# # # #;"842971370027855872";https://twitter.com/Pandagrl27/status/842971370027855872
